ma,ten,dvt,don_gia_moi
BL1500NSDRA60,Bồn lạnh   Inox Solarkyo 1.500 lít ngang - Đầu ra 60,Bộ,0
BL2000ĐS,Bồn lạnh  Inox Solarkyo 2.000 lít đứng,Bộ,5378000
BL2000NS,Bồn lạnh  Inox Solarkyo 2.000 lít  ngang,Bộ,1989158
BL2000NSDRA60,Bồn lạnh  Inox Solarkyo 2.000 lít  ngang đầu ra 60,Bộ,0
BL200LDS,Bồn lạnh  Inox Solarkyo 200 lít đứng,Bộ,5378000
BL200NS,Bồn lạnh  Inox Solarkyo 200 lít ngang,Bộ,0
BL2500ĐS,Bồn lạnh  Inox Solarkyo 2.500 lít đứng,Bộ,0
BL2500NS,Bồn lạnh  Inox Solarkyo 2.500 lít ngang,Bộ,0
BL3000ĐS,Bồn lạnh  Inox Solarkyo 3.000 lít đứng,Bộ,0
BL3000NS,Bồn lạnh  Inox Solarkyo 3.000 lít ngang,Bộ,0
BL300ĐS,Bồn lạnh  Inox Solarkyo 300 lít đứng,Bộ,0
BL300NS,Bồn lạnh  Inox Solarkyo 300 lít ngang,Bộ,2445000
BL4000NS,Bồn lạnh  Inox Solarkyo4.000 lít  ngang,Bộ,0
BL5000NS,Bồn lạnh  Inox Solarkyo 5.000 lít  ngang,Bộ,0
BL500ĐS,Bồn lạnh  Inox Solarkyo 500 lít đứng,Bộ,1296000
BL500NS,Bồn lạnh  Inox Solarkyo 500 lít ngang,Bộ,1381560
BL700ĐS,Bồn lạnh  Inox Solarkyo 700 lít đứng,Bộ,2310000
BL700NS,Bồn lạnh  Inox Solarkyo 700 lít ngang,Bộ,2545000
BL8000N,Bồn lạnh  Inox Solarkyo 8.000 lít  ngang,Cái,0
BODIEUKHIEN,Bộ Điều Khiển,Bộ,144444
BOHOTRODIEN49,Bộ hỗ trợ điện 7500W ra 49,Bộ,722134
BOHOTRODIEN58,Bộ hỗ trợ điện phi 58,Cái,0
BOM300AKHONGHOP,Máy bơm  nươc chức năng tự động và đảy cao  300W CAMEL,Cái,1585000
BONCAUTRANG,Bồn Cầu trắng C812 (720 x 390 x 650 mm),Bộ,1370000
BONTIEUNAM,Bấm tiểu nam,Bộ,460000
BOX1NGA16,Box 1 ngã  - ống chờ 1 đường thẳng- 16 (200c/1 thùng),Bộ,4715
BOX1NGA20,Box 1 ngã  - ống chờ 1 đường thẳng- 20,Bộ,17387
BOX2NGA16,Box 2 ngã  - ống chờ 2 đường thẳng SINO - 16 (170c/1 thung),Bộ,5578
BOX2NGA20,Box 2 ngã  - ống chờ 2 đường thẳng- 20,Bộ,5424
BOX2NGAVUONG16,Box 2 ngã  - ống chờ 2 đường vuông góc SINO - 16 (200c/1thung),Bộ,5950
BOX2NGAVUONG20,Box 2 ngã  - ống chờ 2 đường vuông góc- 20,Bộ,6460
BOX3NGA16,Box 3 ngã  - ống chờ 3 đường thẳng- 16,Cái,1924
BOX3NGA20,Box 3 ngã  - ống chờ 3 đường thẳng- 20,Bộ,1108
BOX3NGA25,Box 3 ngã  - ống chờ 3 đường thẳng- 25,Cái,745
BOX4NGA20,Box 4 ngã  - ống chờ 4 đường - 20,Bộ,4560
BOX4NGA25,Box 4 ngã  - ống chờ 4 đường - 25,Bộ,5207
BOX4NGAPHI16,Box 4 ngã  - ống chờ 4 đường - 16,Cái,2199
BOXADOIIOX,Bộ xả đôi Inox nhỏ BXD,Bộ,0
C,Co,Cái,7150
C.3,C.0,Cuộn,0
C-1,C,Cái,6156
C-1-1,Cô,Cái,101736
C111,C,Cái,106920
C25HDPE,Co 25 HDPE,Cái,30000
C9d25BM,Co 900 Ø 25 PP-R BM,Cái,7920
C9d40BM,Co 900 Ø 40 PP-R BM,Cái,14872
C9d50BM,Co 900 Ø 50 PP-R BM,Cái,326187
C9d75BM,Co 900 Ø 75 PP-R BM,Cái,154548
C9D90PPR,Co 90 Ø 90 PP-R BM,Cái,78066
CANA60/42,Cà ná 60/42 inox,Cái,70500
CAP6LOI,Dây cáp mạng cat 6 Cadivi,Mét,4808
CAP8LOI,Dây cáp mạng 8 lõi (200m/1 cuộn),Mét,6510
CAUKASSANI0833M,Bồn Cầu Liền Khối Kassani 0833M,Bộ,5670000
CAUKASSANI2730,Bồn Cầu Liền Khối KASSANI 2730,Bộ,2500000
cay,Cây,Cây,833889
CB10A1PEZ9,Cầu dao tự động (CB)- Easy9-341 1P 10A C Schneider,Cái,45534
CB10A2PEZ9SCHNEIDER,Cầu dao tự động (CB)- Easy9-342 2P 10A C Schneider,Cái,130180
CB10A2PSCHNEIDER,Cầu dao tự động (CB) A9K - IK60N-272 2P 10A C Schneider,Cái,213548
CB10SCHNEIDER,Cầu dao tự động (CB) A9K- IK60N-271 1P 10A C Schneider,Cái,76193
CB16A1PEZ9,Cầu dao tự động (CB)- Easy9-341 1P 16A C Schneider,Cái,60712
CB16A1PSCHNEIDER,Cầu dao tự động (CB) A9K - IK60N-271 1P 16A C Schneider,Cái,76193
CB16A2PEZ9SCHNEIDER,Cầu dao tự động (CB)- Easy9-342 2P 16A C Schneider,Cái,165205
CB16A2PSCHNEIDER,Cầu dao tự động (CB) A9K - IK60N-272 2P 16A C Schneider,Cái,213548
CB20A1PEZ9,Cầu dao tự động (CB)- Easy9-341 1P 20A C Schneider,Cái,45534
CB20A1PSCHNEIDER,Cầu dao tự động (CB) A9K - IK60N-271 1P 20A C Schneider,Cái,76193
CB20A2PEZ9SCHNIEDER,Cầu dao tự động (CB)- Easy9-342 2P 20A C Schneider,Cái,61129
CB20A2PSCHNIEDER,Cầu dao tự động (CB) A9K - IK60N-272 2P 20A C Schneider,Cái,213548
CB25A1PEZ9,Cầu dao tự động (CB)- Easy9-341 1P 25A C Schneider,Cái,45534
CB25A1PSCHNEIDER,Cầu dao tự động (CB) A9K - IK60N-271 1P 25A C Schneider,Cái,76193
CB25A2PEZ9SCHNIEDER,Cầu dao tự động (CB)- Easy9-342 2P 25A C Schneider,Cái,149660
CB25A2PSCHNEIDER,Cầu dao tự động (CB) A9K - IK60N-272 2P 25A C Schneider,Cái,213548
CB32A1PEZ9,Cầu dao tự động (CB)- Easy9-341 1P 32A C Schneider,Cái,60712
CB32A1PSCHNEIDER,Cầu dao tự động (CB) A9K - IK60N-271 1P 32A C Schneider,Cái,76193
CB32A2PEZ9SCHNIEDER,Cầu dao tự động (CB)- Easy9-342 2P 32A C Schneider,Cái,155628
CB32A2PSCHNEIDER,Cầu dao tự động (CB) A9K - IK60N-272 2P 32A C Schneider,Cái,528000
CB-3P20ASINO,Cầu dao tự động Sino 3P - 20A C3020,Cái,140140
CB-3P32ASINO,Cầu dao tự động Sino 3P - 32A C3032,Cái,140140
CB-3P50ASINO,Cầu dao tự động Sino 3P - 50A C3050,Cái,190036
CB-3P63ASINO,Cầu dao tự động Sino 3P - 63A C3063,Cái,190036
CB40A1PEZ9,Cầu dao tự động (CB)- Easy9-341 1P 40A C Schneider,Cái,81261
CB40A2PEZ9SCHNIEDER,Cầu dao tự động (CB)- Easy9-342 2P 40A C Schneider,Cái,195271
CB40A2PSCHNEIDER,Cầu dao tự động(CB) A9K - IK60N-242 2P 40A C Schneider,Cái,256050
CB40ASCHNEIDER,Cầu dao tự động (CB) A9K-IK60N-241 1P 40A C Schneider,Cái,91224
CB50A1PEZ9,Cầu dao tự động (CB)- Easy9-341 1P 50A C Schneider,Cái,107997
CB50A2PEZ9SCHNIEDER,Cầu dao tự động (CB)- Easy9-342 2P 50A C Schneider,Cái,250687
CB50A2PSCHNEIDER,Cầu dao tự động (CB) A9K- IK60N-242 2P 50A C Schneider,Cái,429169
CB50ASCHNEIDER,Cầu dao tự động (CB) A9K- IK60N-241 1P 50A C Schneider,Cái,116622
CB63A1PEZ9SCHNEIDER,Cầu dao tự động (CB)- Easy9-341 1P 63A C Schneider,Cái,117815
CB63A2PEZ9SCHNIEDER,Cầu dao tự động (CB)- Easy9-342 2P 63A C Schneider,Cái,264911
CB63A2PSCHNEIDER,Cầu dao tự động (CB) A9K- IK60N-242 2P 63A C Schneider,Cái,357641
CB63ASCHNEIDER,Cầu dao tự động (CB) A9K- IK60N-241 1P 63A C - Schneider,Cái,116622
CBCOC-10A,CB Cóc - Cầu Dao tự động - 10A Lioa,Cái,29583
CBCOC-15A,CB Cóc - Cầu Dao tự động - 15A Lioa,Cái,30213
CBCOC-20A,CB Cóc - Cầu Dao tự động - 20A Lioa,Cái,33718
CBL1000LD,Chân bồn lạnh Inox 1000 lít  đứng,Chân,0
CBL1000LD-QC,Chân bồn lạnh 1000 lít  đứng - Inox 201,Chân,0
CBL1000LN,Chân bồn lạnh Inox 1000 lít  ngang,Chân,12761
CBL1000NINOX304,Chân bồn lạnh 1000N (INOX 304),Cái,462000
CBL1500LD,Chân bồn lạnh Inox 1500 lít  đứng,Chân,0
CBL1500LN,Chân bồn lạnh Inox 1500 Lít ngang,Cái,0
CBL1500NINOX304,Chân bồn lạnh 1500N (INOX 304),Cái,329500
CBL2000LD,Chân bồn lạnh Inox 2000 lít  đứng,Chân,0
CBL2000LN,Chân bồn lạnh Inox 2000 lít  ngang,Chân,0
CBL2000NINOX304,Chân bồn lạnh 2000N (INOX 304),Cái,1055000
CBL2500N,Chân bồn lạnh Inox 2500 lít  ngang,Cái,7205000
CBL3000LD,Chân bồn lạnh Inox 3000 lít  đứng,Chân,0
CBL3000LN,Chân bồn lạnh 3000 lít ngang,Cái,0
CBL3000LNINOX,Chân bồn lạnh 3000 lít ngang Inox 304,Cái,0
CBL300LD,Chân bồn lạnh Inox 300 lít  đứng,Chân,0
CBL300LN,Chân bồn lạnh Inox 300 lít  ngang,Chân,0
CBL4000LN,Chân bồn lạnh 4000 lít ngang,Cái,0
cbl5000L,CHân bồn lạnh 5.000L ngang,Chân,0
CBL500LD,Chân bồn lạnh Inox 500 (700) lít  đứng,Chân,0
CBL500LN,Chân bồn lạnh Inox 500 lít  ngang,Chân,103328
CBL500NINOX304,Chân bồn lạnh 500N (INOX 304),Cái,0
CBL700LN,Chân bồn lạnh Inox 700 lít  ngang,Chân,0
cd,ccc,Kg,0
CG114/90BM,Co giảm Ø 114/90 BM,Cái,14302
CG11460BM,Co giảm  Ø 114/60 mỏng BM,Cái,27720
CG27/21BM,Co giảm Ø 27/21 dày BM,Cái,4548
CG34/21BM,Co giảm Ø 34/21 dày BM,Cái,3479
CG34/27BM,Co giảm  Ø 34/27 dày BM,Cái,4232
CG42/27BM,Co giảm Ø 42/27 dày BM,Cái,9288
CG42/34BM,Co giảm Ø 42/34 dày BM,Cái,5606
CG49/27BM,Co giảm Ø 49/27 dày BM,Cái,7699
CG49/34BM,Co giảm Ø 49/34 dầy BM,Cái,9807
CG60/27DH,Co giảm Ø 60/27 Đạt Hòa,Cái,0
CG60/34BMD,Co Giảm Ø 60/34 dày BM,Cái,10319
CG60/34DH,Co giảm Ø 60/34 ĐH,Cái,33069
CG60/42BMD,Co GiảmØ 60/42 dày BM,Cái,12908
CG60/42MX,Co giảm Ø 60/42 MX,Cái,6321
CG90/60BMD,Co giảm Ø 90/60 dày BM,Cái,53676
CG90/60BMM,Co giảm Ø 90/60 BM,Cái,9045
CHANBONCN,Chân Bồn Công Nghiệp,Cái,0
CHANCONGNGHIEP,Chân hộp tuần hoàn bồn công nghiệp,Bộ,0
CHANLAVABO284,Chân lavabo L-284V,Cái,1124778
CHANLAVABO288,Chân lavabo L-288V,Cái,520000
CHANLAVABO299V,Chân Chậu rửa Lavabo 298V,Cái,762000
CHANLAVABOTREOZICO691M,LAVABO chân Treo ZICO 691M,Bộ,920000
CHANMAY12,Chân máy NLMT 12 - 01,Bộ,0
CHANMAY12D58,Chân máy NLMT 12D58,Bộ,1200000
CHANMAY14,Chân máy NLMT 14 - 01,Bộ,0
CHANMAY14D58,Chân Máy NLMT 14D58,Bộ,133775
CHANMAY15,Chân máy NLMT 15 - 01,Bộ,0
CHANMAY15D58,Chân máy NLMT 15D58,Bộ,674437
CHANMAY16,Chân máy NLMT 16 - 01,Bộ,0
CHANMAY16D58,Chân Máy NLMT 16D58,Bộ,369620
CHANMAY18,Chân máy NLMT 18 - 01,Bộ,0
CHANMAY18D58,Chân máy NLMT 18d58,Bộ,0
CHANMAY20,Chân máy NLMT 20 - 01,Bộ,0
CHANMAY20D58,Chân máy NLMT 20D58,Bộ,27761
CHANMAY2201,Chân máy NLMT 220 lít SLK01,Bộ,0
CHANMAY22D58,Chân máy NLMT 22D58,Bộ,0
CHANMAY24,Chân máy NLMT 24 - 01,Bộ,0
CHANMAY24D58,Chân máy NLMT 24D58,Bộ,0
CHANMAY26D58,Chân Máy NLMT 26D58,Cái,2600000
CHANMAY30,Chân máy NLMT 30 - 01,Bộ,0
CHANMAY30D58,Chân máy NLMT 30D58,Bộ,3000000
CHANTAM150,Chân máy tấm SPE150,Bộ,0
CHANTAM180,Chân máy tấm SPE 180,Bộ,0
CHANTAM220,Chân máy tấm SPE 220,Bộ,0
CHANTAM300,Chân máy tấm SPE 300,Bộ,0
CHAU1HOC,Chậu rửa chén 1 hộc inox 304 (780*460),Cái,1550000
CHAULAVABOCOMBOO8194,Chậu Lavabo đặt bàn ComBoo 8194,Bộ,520000
CHAURCDUC1NGAN,Chậu rửa Đúc Nano 1 ngăn,Cái,1350000
CHAURCZKD-10048,Chậu Rửa Chén Zico KD-10048(1000*480*230) - 1 cánh 2 hộc,Bộ,2831000
CHAURUA1HOCWT-Y,Chậu rửa 1 hộc đơn VVP SUS304 WT-Y(430x380x182mm),Cái,190000
CHAURUA2HOC201WH,Chậu rửa không cánh 201(nhỏ) WH,Cái,1090000
CHAURUA2HOC304WC2,Chậu rửa 2 hộc 1 cánh WC2  304( 1057x462x220mm),Cái,4121600
CHAURUA2HOCWD3,Chậu rửa 2 hộc 1 cánh WD3 - Sọc thẳng (1091 x 477 x 230 mm),Cái,1841400
CHAURUAC-8245-304,Chậu rửa chén 8245 2 hộc không cánh (80*45*23),Bộ,1010000
CHAURUADOI390WF-E3,Chậu rửa đôi không cánh WF-E3 VVP390 SUS304(801x476x220mm),Cái,1585000
CHAURUALAVABO280,Chậu rửa lavabo L-280V,Cái,362000
CHAURUALAVABO284,Chậu rửa lavabo L-284V,Cái,545000
chbm315M,Lơi BM 315 TC,Cái,1801116
CHD114DH,Lơi 114 đạt hòa,Cái,19309
CHd25BM,Chếch (Lơi) 450 Ø 25 PP-R BM,Cái,5558
ChD27DH,lơi 27 đạt hòa,Cái,2136
chd315mh,Lơi 315 vpc minh hùng,Cái,1870000
CHd32BM,Chếch (Lơi) 450 Ø 32 PP-R BM,Cái,7540
CHEN47,Bát đỡ ống phi 47,Cái,0
CHEN58,Bát đỡ ống phi  58,Cái,1447
CHENXABONG,Chén xà bông Vạn Tường,Cái,50000
chO,L,Cái,14960
CHUOIDH21,Chuôi đồng hồ 21,Cái,0
CHUONGDIENCODAY-SINO,Chuông điện có dây reng Sino 220V-308VL,Cái,110160
CN251/2BM,Cút ren ngoài Ø 25*1/2 PP-R BM,Cái,67392
CNd32BM,Cút ren ngoài Ø 32*1 PP-R BM,Cái,305800
CNIN2721,Cà ná Inox 27/21,Cái,27937
CNIN34/21,cà rá inoc 34/21,Cái,37250
CNIN34/27,Cà ná Inox 34/27 inox,Cái,18234
CNIN42/27INOX,Cà ná  Inox 42/27 inox,Cái,37000
CNIN42/34INOX,Cà ná  Inox 42/34 inox,Cái,38765
CNIN49/34,Cà ná Inox 49/34,Cái,35586
CNIN49/42,Cà ná Inox 49/42,Cái,63263
CNIN60/49,Cá ná iNOX  Ø 60/49,Cái,99468
co110,Co 110 PPR BM,Cái,446160
CO110PVC-BM,Co BM Ø 110 M PN6,Cái,65880
CO114DPVC-BM,Co BM Ø 114 dày,Cái,62280
CO114MPVC-BM,Co BM Ø 114 Mỏng,Cái,30114
CO140MPVC-BM,Co BM Ø 140 PN4,Cái,86238
CO168MPVC-BM,Co BM Ø 168,Cái,94630
CO16SINO,Co trơn 16 SINO - E244/16,Cái,1150
CO200PVC-BM,Co PVC - U 200 PN6,Cái,363096
CO20BMVN,Co 20 PPR BM VN,Cái,878
CO20-PPRBM,Co 900 Ø 20 PP-R BM,Cái,1500
CO20SINO,Co trơn 20 SINO - E244/20,Cái,1947
CO21DPVC-BM,Co BM Ø 21 dày,Cái,1430
CO220PVC-BM,Co 220 PVC BM PN9,Cái,325064
CO25BMVN,Co 25 PPR BM VN,Cái,2372
CO25PL,Co 25 PPR PIPELIFE,Cái,15950
CO25PPR,Co 900 Ø 25 PPR đen,Cái,1496
CO25SINO,Co trơn 25 SINO - E244/25,Cái,2649
CO25UV,Co 25 PPR UV BM,Cái.,2891
CO27PVCBM,Co BM Ø 27 dày,Cái,2630
CO32BMVN,Co 32 PPR BM VN,Cái,4070
CO32DEN,Co 900 Ø 32 PP-R,Cái,3466
CO32PL,Co 32 PPR PIPELIFE,Cái,26180
CO32SINO,Co trơn 32 SINO - E244/32,Cái,9817
CO34DPVC-BM,Co BM Ø 34 dày,Cái,3683
CO40BMVN,Co 40 PPR BM VN,Cái,8632
CO42DPVC-BM,Co BM Ø 42 dày,Cái,4776
CO49DPVC-BM,Co BM Ø 49 dày,Cái,9691
CO50BMVN,Co 50 PPR BM VN,Cái,9852
CO60DPVC-BM,Co BM Ø 60 dày,Cái,6204
CO60MPVC-BM,Co BM Ø 60 Mỏng,Cái,5688
CO63BM,Co 90 Ø 63 PP-R BMVN,Cái,53394
CO75MPVC-BM,Co BM Ø 75,Cái,13812
CO90DHM,Co ĐH Ø 90 mỏng,Cái,24939
CO90DPVC-BM,Co BM Ø 90 dày,Cái,18569
CO90HSM,Co HS Ø 90 mỏng,Cái,19532
CO90MPVC-BM,Co BM Ø 90 Mỏng,Cái,14040
COCTIEPDIA,Cọc tiếp địa (2m4/ cây),Cây,190716
CODE21,Cổ Dê 21,Cái,14000
CODE21 - 304,Cổ Dê 21 - 304,Cái,8000
CODE42,Cổ Dê 42,Cái,3000
CODH114,Co 114 đạt hòa,Cái,30002
CODHD34,Co ĐH Ø 34 dày,Cái,4605
COHS34,Co HS Ø 34 dày,Cái,4947
CONGTACNGANG,Công Tắc Ngang Lioa,Cái,9230
CONTHONO90TP,Con thỏ Ø 90 Tiền Phong,Bộ,57179
COO,C9,Cái,0
CORENINOXD27,Co Ren Inox 27,Cái,17334
cornbmd34,Co ren ngoài BM Ø 34 dày,Cái,7771
CPMH,Chi phí mua hàng,Cái,0
CRN201/2PL,Co ren ngoài 20 x1/2 PPR PIPELIFE,Cái,97680
CRN201/2PPR,Co ren ngoài Ø 20*1/2 PP-R BM,Cái,65919
CRN21THAUBM,Co ren ngoài BM Ø 21 thau,Cái,9499
CRN251/2BM,Co ren ngoài 25 x1/2 PPR BM VN,Cái,32843
CRN251/2PL,Co ren ngoài 25 x1/2 PPR PIPELIFE,Cái,112200
CRN253/4BM,Co ren ngoài Ø 25*3/4 PP-R BM,Cái,125677
CRN2721DHTHAU,Co RN 21 ống 27 thau DH,Cái,23082
CRN2721NHUABM,Co Ø 27 ren ngoài  21 BM Nhựa,Cái,3800
CRN2721THAUBM,Co Ø 27 ren ngoài 21 BM thau,Cái,19411
CRN27NHUABM,Co ren ngoài Ø 27 BM Plastic,Cái,2843
CRN27THAUBM,Co ren ngoài BM 27 thau,Cái,30928
CRN323/4BM,Co ren ngoài 32 x3/4 PPR BM,Cái,108000
CRN34/27BM,Co 27 x RN 34 nhựa BM VN,Cái,9552
CRN34NHUABM,Co ren ngoài dầy 34 PVC,Cái,5037
crnd21tdh,Co răng ngài 21 thau đạt hòa,Cái,41464
CRT20X1/2BMVN,Co RT 20 x1/2 BM VN,Cái,4791
CRT20X1/2PL,Co RT 20 x 1/2 PPR PIPELIFE,Cái,68750
CRT21THAUBM,Co ren trong BM Ø 21 thau,Cái,6652
CRT251/2PPRXANH,Co ren trong Ø 25*1/2 PPR,Cái,16289
CRT253/4BM,Co ren trong Ø 25*3/4 PP-R BM,Cái,123228
CRT253/4PPR,Co ren trong Ø 25*3/4 PPR đen,Cái,18309
CRT253/4UV,Co RT thau PPR UV 25 x3/4  BM,Cái,21201
CRT25X1/2BMVN,Co RT 25 x 1/2 PPR BM VN,Cái,16023
CRT25X1/2PL,Co RT 25 x 1/2 PPR PIPELIFE,Cái,81400
CRT25X3/4BMVN,Co RT 25 x 3/4 PPR BM VN,Cái,21046
CRT25X3/4PL,Co RT 25 x 3/4 PPR PIPELIFE,Cái,100760
CRT2721THAUBM,Co Ø 27 ren trong thau 21 BM,Cái,7986
CRT27INOX,Co ren trong BM Ø 27 inox,Cái,20664
CRT27T,Co ren trong 27 thau,Cái,10953
CRT32*1',CO REN TRONG 32*1'',Cái,63042
CRTBMD21,Co ren trong BM 21 nhựa,Cái,2726
CRTBMD27,Co ren trong BM Ø 27 Plastic,Cái,5990
CSNMALAI,Cao su non MALAI,Cái,800
CT,Côn t,Cái,4840
CT-1,C,Cái,66960
CT1CONCEPT,Công tắc 1 chiều có dạ quang SizeS- 16AX CONCEPT(3031-1-2M-F-G19),Cái,17371
CT1ZENCELO,Công tắc 1 chiều Size S ZENCELO A (8431S_1_BZ_G19),Cái,62573
CT2CONCEPT,Công tắc 2 chiều có dạ quang Size S CONCEPT(3031-2-3M-F-G19),Cái,32269
CT2ZENCELO,Công tắc 2 chiều Size S ZENCELO A (A8431S_2_BZ_G19),Cái,66990
CTd201/2BM,Cút ren trong Ø 20*1/2 PP-R BM,Cái,4125880
CTd251/2BM,Cút ren trong Ø 25*1/2 PP-R BM,Cái,33176
CTd321BM,Cút ren trong Ø 32*1 PP-R BM,Cái,275000
CTd40/20BM,Côn thu (Nối giảm) Ø 40/20 PP-R BM,Cái,4662
CTd40/25BM,Côn thu (Nối giảm) Ø 40/25 PP-R BM,Cái,10780
CTd40/32BM,Côn thu (Nối giảm)  Ø 40/32 PP-R BM,Cái,13232
CTd50/20BM,Côn thu (Nối giảm)  Ø 50/20 PP-R BM,Cái,6630
CTd50/25BM,Côn thu (Nối giảm)  Ø 50/25 PP-R BM,Cái,32452
CUI10PINOX2DRN34,Cùi 10P 2 đầu RN 34 Inox,Cái,30000
CUI10PINOX2DRN42,Cùi 10P 2 đầu RN 42 Inox,Cái,129940
CUI15PINOX34,Cùi 15P 2 đầu RN 34 Inox,Cái,88184
CUI15PINOX49,Cùi 15P 2 đầu RN 49 Inox,Cái,81324
CUI20PINOX2DRN34,Cùi 20P 2 đầu RN 34 Inox,Cái,50000
CUIINOX1DAURN27,Cùi Inox 1 Đầu RN 27,Cái,0
CUM114,Cùm treo 114  tốt,Cái,5416
CUM140,Cùm treo 140 tốt,Cái,10101
CUM168,Cùm treo 168 tốt,Cái,17424
CUM21,Cùm treo 21,Cái,3633
CUM27,Cùm treo 27,Cái,4137
CUM34,Cùm treo 34,Cái,5790
CUM42,Cùm treo 42,Cái,4270
CUM49,Cùm treo 49,Cái,5372
CUM60,Cùm treo 60 tốt,Cái,4323
CUM90,Cùm treo 90 tốt,Cái,5319
CUMU114x10,Cùm U d114 x10mm,Bộ,8000
CUMU168x10,Cùm U d168 x10mm,Bộ,0
CUMU49x10,Cùm U d49 x 10mm,Bộ,0
CUMU60x10,Cùm U d60 x10mm,Cái,6500
CUMU90x10,Cùm U D90 x10mm,Bộ,0
CUONDAYDANNUOCD18,Cuộn dây dẫn nước d18,Cuộn,0
CV1.5CADIVIDEN,"Dây 1.5-0,6/1KV CADIVI (100m/cuộn) - Đen",Mét,2592
CV1.5CADIVIDO,"Dây 1.5-0,6/1KV CADIVI (100m/cuộn) - Đỏ",Mét,2625
CV1.5CADIVITER,Dây CV1.5 - 0.6/1kV - AN-NZS-5001- TER,Mét,5500
CV1.5CADIVIVANG,"Dây 1.5-0,6/1KV CADIVI (100m/cuộn) - Vàng",Mét,5341
CV1.5CADIVIXANH,"Dây 1.5-0,6/1KV CADIVI (100m/cuộn) - Xanh",Mét,2693
CV10CADIVIDEN,"Dây 10 - 0,6/1KV CADIVI (100m/cuộn) - ĐEN",Mét,34420
CV10CADIVIDO,"Dây 10 - 0,6/1KV CADIVI (100m/cuộn) - Đỏ",Mét,28644
CV10CADIVITER,"Dây 10 - 0,6/1KV CADIVI (100m/cuộn) - TER",Mét,39555
CV10CADIVIVANG,"Dây 10 - 0,6/1KV CADIVI (100m/cuộn) - Vàng",Mét,64876
CV10CADIVIXANH,"Dây 10 - 0,6/1KV CADIVI (100m/cuộn) - Xanh",Mét,29380
CV16CADIVI,"Dây 16 - 0,6/1KV CADIVI (100m/cuộn)",Mét,96358
CV2.5CADIVIDEN,"Dây 2.5 - 0,6/1KV CADIVI (100m/cuộn) Đen",Mét,6924
CV2.5CADIVIDO,"Dây 2.5 - 0,6/1KV CADIVI (100m/cuộn) - Đỏ",Mét,6185
CV2.5CADIVITER,Dây CV2.5-0.6/1kV - AN-NZS-5000.1 - TER,Mét,5960
CV2.5CADIVIVANG,"Dây 2.5 - 0,6/1KV CADIVI (100m/cuộn) Vàng",Mét,4720
